title,NPC_total,NPC_chunks,NPC_variations,NPC_sequences,NPC_grammar,NPC_ho,NPC_au,unique_pitches,unique_durations,encoding_length,num_unique_chunks,num_variations
Lord Mounteagle's (reel),105,12,6,64,23,0,0,4,3,65,4,6
Gillespie's Hornpipe,91,37,3,32,19,0,0,9,3,33,11,3
"Boy in the Gap (reel), The",140,50,2,63,25,0,0,12,3,64,13,2
Miss Lyons' Fancy (reel),162,66,4,63,29,0,0,14,3,64,17,4
"Mason's Apron (reel), The",164,55,10,64,35,0,0,7,4,65,17,11
Danny Ab's* (slide),116,22,7,61,26,0,0,8,3,62,9,10
Drover's Lads*,119,30,4,63,22,0,0,9,4,64,10,4
"Stony Steps (reel), The",121,59,6,31,25,0,0,13,3,32,15,5
James Gannon's Jig,111,13,8,64,26,0,0,7,3,65,5,9
McDonagh's Reel 2,190,102,1,47,40,0,0,13,4,48,33,1
"Diving Duck* (polka), The",137,39,4,65,29,0,0,9,3,66,14,7
Dublin Porter (reel),174,61,10,64,39,0,0,11,6,65,18,10
Tap the Barrel (reel),209,51,2,127,29,0,0,13,4,128,12,2
"Reens Polka*, The",127,26,10,64,27,0,0,8,4,65,8,10
"Glassan Slide*, The",111,13,8,64,26,0,0,6,3,65,6,8
Jimmy Doyle's Favorite* (polka),126,30,6,64,26,0,0,10,4,65,10,8
Knocknaboul Polka (2),176,23,13,95,45,0,0,9,3,96,8,13
Sligo to Dublin* (polka),126,27,9,61,29,0,0,10,3,62,9,12
"Liverpool Breakdown (h'pipe), The",155,62,3,64,26,0,0,12,3,65,18,3
Willie Coleman's,164,39,8,79,38,0,0,11,5,80,13,10
"Irish Girl (reel), The",114,54,4,31,25,0,0,13,4,32,13,4
Shove Into Me Joanie! (polka),97,4,8,64,21,0,0,2,2,65,2,10
"Beggarman's Reel, The",111,49,6,32,24,0,0,13,6,33,12,5
"Maid Of Castlebar (reel), The",144,78,4,31,31,0,0,15,4,32,23,5
"Owenmore Polka*, The",131,34,6,64,27,0,0,11,3,65,15,7
Mangan's Fancy (reel),66,2,9,32,23,0,0,1,1,33,1,9
Tadeen the Donkey,126,31,3,63,29,0,0,10,4,64,10,6
"Boys of Ballyscally, The",151,53,4,64,30,0,0,15,3,65,19,4
Toss the Feathers (reel),256,88,1,127,40,0,0,18,8,128,23,1
"Sally Gardens (reel), The",120,25,6,64,25,0,0,9,4,65,8,6
Pleasant to Start*,72,20,5,31,16,0,0,8,3,32,7,5
"Lass of Ballintra 2 (reel), The",73,11,7,32,23,0,0,3,4,33,5,7
Master McDermott's (reel),154,57,5,64,28,0,0,11,4,65,17,5
"Black Sticks* (reel), The",156,56,10,49,41,0,0,11,2,50,19,10
Pat's Parlour,129,33,5,64,27,0,0,8,4,65,14,6
"Humors of Castlefinn (reel), The",107,45,6,32,24,0,0,12,3,33,13,6
Gannon's Delight*,111,14,8,62,27,0,0,7,3,63,7,9
"Highway to Kilkenny*, The",104,24,9,47,24,0,0,9,4,48,9,10
"Game Cock (reel), The",89,36,4,31,18,0,0,10,4,32,9,4
"Sunday Bells* (reel), The",120,54,5,33,28,0,0,12,4,34,18,5
Paddy Murphy's Wife (reel),166,74,2,63,27,0,0,14,3,64,17,2
Dan Sullivan's Fancy (hornpipe),182,60,8,80,34,0,0,12,8,81,15,8
Lackagh Cross (polka),131,34,7,64,26,0,0,10,5,65,11,7
A Trip To Galway,113,7,12,64,30,0,0,3,2,65,4,12
Sporting Paddy (reel),97,39,4,32,22,0,0,11,3,33,11,4
"Gauger (reel), The",231,65,4,127,35,0,0,13,6,128,16,4
"Rakes of Terrygolden (reel), The",113,50,6,31,26,0,0,9,3,32,15,6
Dan the Pump (reel),113,55,4,31,23,0,0,12,5,32,14,4
Glen Cottage (1) (polka),130,29,9,61,31,0,0,11,4,62,11,12
Molly Murphy's Reel*,96,43,2,31,20,0,0,11,3,32,11,2
"Limerick Blacksmith* , The",143,40,8,63,32,0,0,12,3,64,16,9
"Piper's New House* (hornpipe), The",118,29,3,64,22,0,0,7,3,65,10,3
All the World Loves Me (reel),76,15,9,31,21,0,0,7,2,32,4,9
"Kinvara Reel*, The",167,75,5,47,40,0,0,11,3,48,21,4
Mrs.Long's Tartan Plaid* (reel),111,46,8,32,25,0,0,13,6,33,13,8
Scully Casey's #2,150,41,9,63,37,0,0,13,4,64,14,12
"Rainy Day Jig, The",118,14,8,63,33,0,0,8,3,64,6,8
Late Home at Night,93,17,5,47,24,0,0,8,3,48,6,6
McFadden's Reel 1,119,59,2,31,27,0,0,12,4,32,17,2
"Ballinafad Fancy* (polka), The",146,40,18,46,42,0,0,12,5,47,15,22
"High Road to Dublin, The",103,30,2,47,24,0,0,10,2,48,10,5
"Frog in the Puddle*, The",120,14,11,64,31,0,0,8,3,65,5,11
Cabin Hunter* (reel),116,53,6,31,26,0,0,10,4,32,16,6
"Humors of Whiskey, The",112,35,3,47,27,0,0,10,4,48,12,4
McDonagh's Apples*,142,42,4,64,32,0,0,9,3,65,18,5
"New Frock, The",131,31,6,64,30,0,0,7,3,65,13,8
"Green Gates (reel), The",124,28,8,64,24,0,0,8,4,65,7,8
Wren Hornpipe,165,64,4,64,33,0,0,11,6,65,15,4
Johnny O'Leary's  (polka),112,19,6,65,22,0,0,7,3,66,7,6
Tom Dowd's Favorite (reel),92,36,3,32,21,0,0,9,3,33,13,3
"Donegal Rambler (reel), The",111,50,7,32,22,0,0,10,3,33,14,5
Throw the Beetle at Her!,93,23,3,47,20,0,0,8,2,48,8,3
John Colton's (reel),150,55,6,63,26,0,0,12,3,64,14,6
Hare in the Corn (2),112,13,7,64,28,0,0,6,3,65,6,7
All the Way to Galway (reel),131,43,3,63,22,0,0,13,4,64,10,4
Mammy's Pet (reel),76,16,8,32,20,0,0,6,2,33,5,8
"Crimlin Cat (reel), The",217,40,11,127,39,0,0,13,3,128,10,11
Mary Brennan's Favorite,114,17,7,63,27,0,0,8,3,64,6,12
"Fall of Snow*, The",148,12,8,96,32,0,0,6,3,97,5,8
La Cosa Mulligan* (reel),165,71,2,63,29,0,0,14,5,64,21,2
Master Henry's Reel,123,65,2,31,25,0,0,13,5,32,19,2
Miss McGuiness (reel),66,8,6,32,20,0,0,2,3,33,3,6
"Limerick Squire*, The",109,7,11,62,29,0,0,3,2,63,3,11
"Roscommon Reel, The",147,58,5,48,36,0,0,12,4,49,17,5
Brian o Laimhin (reel),85,37,1,31,16,0,0,10,3,32,8,2
Knocknagow 2*,141,38,7,64,32,0,0,10,3,65,14,11
"Maid of [at] the Spinning Wheel, The",199,10,12,128,49,0,0,5,3,129,4,13
Jack and Jill (reel),144,60,2,48,34,0,0,10,3,49,18,2
Poll Ha'penny (hornpipe),273,97,4,123,49,0,0,14,5,124,31,4
Jim McGuirk's Reel*,126,33,5,64,24,0,0,11,3,65,12,5
"Achonry Lasses (reel), The",120,54,6,32,28,0,0,13,4,33,15,6
Bacon and Beans* (hornpipe),108,44,8,32,24,0,0,10,3,33,15,8
"Humors of Whitegate (reel), The",143,51,4,63,25,0,0,11,5,64,12,5
"Kiltycreen Reel, The",108,48,5,32,23,0,0,11,4,33,15,5
Top to Bottom* (reel),150,86,4,32,28,0,0,15,6,33,22,4
Top of Maol* (polka),112,18,7,63,24,0,0,8,3,64,6,10
Groves of Gneeveguillia (polka),117,18,8,64,27,0,0,7,4,65,6,9
Baile an tSamhraidh (slide),124,23,9,63,29,0,0,9,3,64,9,10
"Sligo Maid (reel), The",173,75,5,63,30,0,0,16,3,64,19,5
Miss Brown's Fancy,199,41,8,111,39,0,0,14,2,112,14,10
Scully Casey's (*) (hornpipe),169,66,6,64,33,0,0,11,5,65,20,6
Tim Mulloney's (reel),146,50,5,63,28,0,0,12,3,64,14,5
"Merry Blacksmith (reel), The",161,41,8,64,48,0,0,10,6,65,12,9
"Humors of Drinagh, The",140,42,4,64,30,0,0,12,3,65,16,6
For the Sake of Old Decency (reel),93,41,3,31,18,0,0,9,3,32,12,2
Sally's Broomstick*,102,28,3,47,24,0,0,10,2,48,10,7
Fahy's Reel,183,81,4,62,36,0,0,16,5,63,24,4
Mister Jones' Kerry Reel,146,77,6,32,31,0,0,13,5,33,22,6
Come Upstairs with Me,88,8,8,48,24,0,0,3,3,49,4,8
Tarmon Polka,105,16,5,63,21,0,0,5,3,64,6,7
"Road to Boyle, The",203,104,2,62,35,0,0,14,5,63,30,2
"View from Black Head*, The",105,10,6,64,25,0,0,5,2,65,5,6
"Dairy Maid, The",119,14,9,63,33,0,0,6,3,64,4,13
"Monasterevin Fancy (reel), The",115,39,4,48,24,0,0,10,5,49,10,4
"Rook on the Thatch* (reel), The",114,59,2,31,22,0,0,12,7,32,15,2
Oliver's Own* (reel),127,39,3,64,21,0,0,9,3,65,12,3
"Green Fields of America (reel), The",166,59,9,64,34,0,0,11,6,65,16,9
Thady Casey's Fancy (reel),97,47,1,31,18,0,0,11,3,32,13,1
Jack's Alive (reel),95,43,2,31,19,0,0,11,3,32,11,3
Johnny Bring the Box* (polka),110,19,3,63,25,0,0,7,4,64,8,3
Scully Casey's #1*,110,10,8,64,28,0,0,5,3,65,5,8
Church Hill,112,22,3,63,24,0,0,7,2,64,7,3
McFadden's Reel 2,105,53,0,32,20,0,0,10,5,33,15,0
"Humors of Derrycros(s)ane, The",105,20,9,47,29,0,0,7,3,48,7,10
Young And Stylish*,243,46,8,149,40,0,0,12,3,150,19,10
