title,NPC_total,NPC_chunks,NPC_variations,NPC_sequences,NPC_grammar,NPC_ho,NPC_au,unique_pitches,unique_durations,encoding_length,num_unique_chunks,num_variations
"Slide John B*, The",109,15,7,64,23,0,0,7,3,65,7,7
O'Shea's the Man!* (reel),135,31,11,64,29,0,0,10,4,65,10,11
Ladies Step Up to Tea!,104,26,6,47,25,0,0,11,2,48,9,8
Tom Connors' Jig,132,33,7,63,29,0,0,10,4,64,12,8
Rolling in the Ryegrass 2 (reel),119,59,3,31,26,0,0,12,4,32,17,3
Take Her Out and Air Her (reel),156,64,1,64,27,0,0,13,5,65,19,1
"Man from Dungannon* (reel), The",237,67,2,127,41,0,0,14,5,128,20,2
Moving in Decency (reel),158,56,6,64,32,0,0,10,5,65,17,8
"Kilbaha Reel, The",125,66,2,32,25,0,0,13,5,33,19,2
"Rising Sun (a1) (reel), The",161,98,1,32,30,0,0,13,3,33,28,1
Mary Ellen's* (hornpipe),173,72,4,64,33,0,0,13,5,65,23,6
"Schottische Polka, The",171,43,10,80,38,0,0,14,3,81,16,12
"Reel of Mullinavat (reel), The",213,80,12,64,57,0,0,14,4,65,24,13
"Dooagh Polka*, The",103,12,7,64,20,0,0,6,4,65,4,8
George Rawley's (h'pipe),140,38,6,64,32,0,0,9,4,65,14,6
"Primrose Girl (reel), The",114,49,9,31,25,0,0,9,3,32,12,8
Mrs. Galvin's Fancy (h'pipe),157,54,7,64,32,0,0,12,5,65,15,8
"Soldier's Joy, The",123,7,11,63,42,0,0,3,2,64,3,11
"Old Concertina* (reel), The",100,47,2,31,20,0,0,10,4,32,13,2
Jack the Deckhand* (reel),133,66,6,31,30,0,0,10,3,32,21,6
"Gatehouse Maid (reel), The",130,66,4,31,29,0,0,12,3,32,18,4
Miss Butler's (reel),109,54,2,32,21,0,0,11,6,33,13,2
Killoran's 1 (polka),133,33,9,63,28,0,0,9,4,64,11,9
Jackie Fitzpatrick's (reel),192,92,4,61,35,0,0,15,4,62,27,4
Dispute at the Crossroad (reel),148,50,5,64,29,0,0,9,4,65,13,5
Rakish Paddy (reel),281,83,12,127,59,0,0,13,4,128,24,11
Jackson's Reel,150,56,10,48,36,0,0,10,4,49,17,7
"Hawthorn Jig, The",139,46,8,46,39,0,0,11,3,47,20,10
Johnny Loves Molly,103,33,2,47,21,0,0,10,4,48,11,2
Up & Down the Stairs,112,15,8,63,26,0,0,6,3,64,6,10
"Tynagh Jig, The",230,45,3,149,33,0,0,13,3,150,17,3
Another Round of Punch!*,109,10,8,64,27,0,0,4,3,65,5,8
"New Miss McLeod (reel), The",97,39,6,31,21,0,0,10,3,32,10,4
"Newport Lass, The",133,35,6,64,28,0,0,9,4,65,14,6
Nonie Stacking Turf* (polka),123,22,8,63,30,0,0,8,4,64,10,10
"Cordal Jig, The",120,26,5,63,26,0,0,9,2,64,9,8
"Atlantic Wave (reel), The",158,62,4,64,28,0,0,13,3,65,18,4
"Rollicking Skipper, The",100,8,5,64,23,0,0,3,3,65,4,5
Crehan's Fiddle*,150,11,10,96,33,0,0,5,2,97,5,10
Gerry Cronin's (reel),158,58,6,64,30,0,0,13,4,65,16,6
"Dusty Miller, The",87,12,4,47,24,0,0,5,3,48,5,6
Gillan's Apples,152,41,9,64,38,0,0,9,4,65,17,9
Union Reel,146,55,6,47,38,0,0,8,5,48,19,7
"Bucks of Oranmore (reel), The",214,85,14,64,51,0,0,13,4,65,22,8
"Empire State Reel* #2, The",106,54,0,31,21,0,0,14,3,32,15,0
"Noon Lasses (reel), The",109,7,9,64,29,0,0,3,2,65,2,9
"Killaval (Fancy) (reel), The",148,56,4,63,25,0,0,12,3,64,15,4
Mary McMahon* (reel),153,51,7,64,31,0,0,12,3,65,16,8
"Captain from Cavan* (polka), The",126,29,5,64,28,0,0,9,5,65,11,6
"Humors of Multyfarnham, The",112,11,8,64,29,0,0,5,3,65,6,8
Mulqueen's (hornpipe),269,114,6,94,55,0,0,12,4,95,35,6
Top of the Morning (reel),110,52,4,31,23,0,0,12,4,32,16,4
"Maid In the Cherry Tree (reel), The",101,42,4,31,24,0,0,7,3,32,13,5
Ballykeal Jig,138,41,4,63,30,0,0,11,4,64,13,5
Tatter Jack Walsh,216,10,14,149,43,0,0,4,3,150,5,14
"Pride of Ahamore (reel), The",150,48,5,65,32,0,0,14,3,66,12,5
You'll Come Home with Me,219,46,14,95,64,0,0,12,5,96,16,23
"Drummond Lasses* (reel), The",71,11,7,32,21,0,0,5,2,33,3,7
"Coach Road to Sligo, The",117,12,7,64,34,0,0,6,3,65,5,9
One of Tommy's* (hornpipe),179,76,7,64,32,0,0,14,9,65,21,7
"Barmaid (reel), The",167,59,10,64,34,0,0,13,5,65,16,12
Walsh's Hornpipe,128,33,8,64,23,0,0,9,3,65,8,7
Miss McGuinness'* (reel),80,25,5,32,18,0,0,7,5,33,7,5
Denis Enright's Slide,113,16,8,63,26,0,0,8,3,64,5,9
Grandpa Tommy's Ceili Band 2 (reel),137,35,8,64,30,0,0,10,5,65,9,8
Jimmy Ward's Jig,122,10,8,64,40,0,0,5,3,65,4,8
"Humors of Ederney (reel), The",155,60,4,64,27,0,0,15,3,65,16,5
John Doherty's Reel (1),76,14,7,32,23,0,0,6,2,33,4,7
"Cavan Reel, The",155,60,5,63,27,0,0,12,5,64,17,5
"Longford Collector (reel), The",143,52,2,63,26,0,0,11,5,64,12,3
"Pretty Welsh Maid* (reel), The",98,37,6,32,23,0,0,9,2,33,11,6
Boys on the Hilltop (reel),136,79,0,31,26,0,0,11,6,32,22,0
"Blacksmith Reilly's Reel, The",114,59,1,32,22,0,0,12,5,33,17,1
Lighting the Lamps* (reel),78,16,8,33,21,0,0,6,4,34,4,8
"Gullane Jig, The",107,9,6,64,28,0,0,2,3,65,4,6
Glen Cottage (2) (polka),125,25,7,64,29,0,0,9,4,65,9,7
Johnny's Gone to France (reel),89,37,3,31,18,0,0,9,2,32,9,3
"Wexford Reel, The",129,66,4,31,28,0,0,13,2,32,19,4
Killarney Boys of Pleasure (reel),155,58,3,64,30,0,0,11,4,65,16,3
High Road to Linton (reel),100,48,2,31,19,0,0,8,4,32,14,2
"Miller's Daughter 1 (reel), The",136,30,8,63,35,0,0,9,4,64,6,8
Paddy O'Rafferty 2,286,67,9,126,84,0,0,10,4,127,29,13
"Elm Grove*, The",110,10,8,64,28,0,0,5,3,65,4,10
O'Connell's Trip to Parliament 2 (reel),90,40,3,31,16,0,0,11,2,32,11,3
"Toormore Jig, The",146,47,2,62,35,0,0,8,2,63,21,2
"Girl of the Big House, The",231,9,12,151,59,0,0,4,2,152,4,13
Ashmolean House (reel),164,68,6,63,27,0,0,14,5,64,17,5
Bonny Anne (reel),153,52,7,64,30,0,0,12,3,65,13,7
Hag at the Kiln (slide),223,34,4,149,36,0,0,13,3,150,13,4
"Lisheen Reel, The",72,20,2,32,18,0,0,6,2,33,6,2
McGoldrick's Reel,147,55,2,63,27,0,0,11,3,64,14,2
"Castlemahon Lasses (reel), The",144,52,2,64,26,0,0,12,3,65,15,2
"Bright May Moon (reel), The",118,27,6,49,36,0,0,10,3,50,9,8
Cuckoo's Nest (hornpipe),197,51,9,96,41,0,0,11,5,97,14,12
Tom Hill's (hornpipe),239,127,6,63,43,0,0,14,5,64,34,6
"Munster Shanachie, The",108,20,4,63,21,0,0,6,2,64,7,4
"Upper Room (reel), The",116,60,1,31,24,0,0,13,3,32,16,2
Ireland Forever*,129,37,3,64,25,0,0,7,3,65,15,3
"Lass Among the Primroses (reel), The",109,53,4,31,21,0,0,13,3,32,15,3
Gannon's Dozen*,126,21,9,63,33,0,0,9,3,64,9,13
"High Jig, The",143,42,5,64,32,0,0,9,3,65,18,6
East Of Galway*,107,11,6,64,26,0,0,6,2,65,4,6
Father Ahearn's* (reel),148,54,3,64,27,0,0,12,4,65,16,3
Johnson's Reel,193,80,12,64,37,0,0,12,6,65,23,6
"Rakes of Drumlish, The",82,5,5,48,24,0,0,2,2,49,2,5
"Primrose Glen, The",143,42,6,64,31,0,0,11,4,65,17,8
Jimmy Giblin's Reel,104,37,2,47,18,0,0,10,3,48,10,2
Cronin's Kitchen* (polka),108,14,8,63,23,0,0,5,4,64,5,10
Southwest Wind,107,10,8,64,25,0,0,5,2,65,4,8
Tommy Whelan's (reel),124,65,2,31,26,0,0,11,3,32,21,2
Kevin Mahon's (reel),113,11,10,64,28,0,0,5,3,65,3,10
"Humors of Tuamgraney, The",128,38,4,64,22,0,0,10,3,65,11,4
"Bog of Allen, The",139,39,7,64,29,0,0,12,4,65,14,9
My Love Between Two Roses (reel),108,54,3,31,20,0,0,11,3,32,14,3
"Silver Slipper Reel, The",114,49,5,32,28,0,0,10,5,33,14,5
"Hag at the Churn*, The",231,41,4,149,37,0,0,12,3,150,14,5
"Tinker's Bib (reel), The",137,41,5,64,27,0,0,9,5,65,11,7
Her Golden Hair Was Curling Down,139,48,3,64,24,0,0,8,4,65,16,3
"Achreidh Jig, The",229,35,6,150,38,0,0,13,4,151,12,8
"Dowser's Favorite (reel), The",146,52,4,64,26,0,0,11,6,65,14,4
Tell Her I Am,197,43,10,96,48,0,0,12,5,97,18,15
I Have a Bonnet (polka),93,4,7,64,18,0,0,2,2,65,2,7
I'd Rather Be Married than Left*,120,20,6,64,30,0,0,9,2,65,11,8
Pull the Knife & Stick It Again,130,33,7,63,27,0,0,9,6,64,10,7
O'Callaghan's Hornpipe,217,107,4,64,42,0,0,13,5,65,29,5
Crossing the Channel,100,27,5,47,21,0,0,9,3,48,10,5
I'd Rather Be Married than Left (slide),118,19,7,64,28,0,0,8,3,65,9,9
When the Cock Crows It is Day,171,18,11,96,46,0,0,9,3,97,8,12
Why Didn't I Love Mary?,101,19,8,47,27,0,0,6,3,48,8,8
Duffy's Reel,97,37,5,32,23,0,0,8,6,33,10,5
Comin' Thro' the Rye,72,13,6,32,21,0,0,6,3,33,6,7
Eleanor Kane's* (reel),148,43,7,64,34,0,0,14,4,65,12,7
"Milltown Lasses (reel), The",99,45,2,31,21,0,0,11,2,32,11,2
Mickey Murphy's Slide,141,42,7,60,32,0,0,10,3,61,18,7
Berkshire Heights (reel),177,73,8,63,33,0,0,11,4,64,19,7
"Shamrock Jig, The",83,14,4,47,18,0,0,5,3,48,5,4
"Drunken Gauger (set dance), The",154,12,8,96,38,0,0,6,3,97,6,10
Lackey's (reel),79,30,2,31,16,0,0,8,2,32,8,2
Let's Be Drinking,111,13,7,64,27,0,0,6,3,65,7,9
"Primrose Lass (reel), The",144,51,4,63,26,0,0,10,3,64,14,3
"Blacksmith (reel), The",76,29,0,31,16,0,0,6,3,32,7,0
Corney is Coming (reel),339,126,15,130,68,0,0,17,5,131,38,14
Curly Mike (reel),163,72,1,63,27,0,0,13,4,64,20,1
His Cow or Yours?* (reel),270,92,23,95,60,0,0,13,4,96,29,21
Mary's Dream (reel),69,13,6,32,18,0,0,4,3,33,6,6
Philip O'Beirne's Delight (reel),136,70,4,32,30,0,0,16,6,33,17,4
Ah Surely! (reel),186,78,5,62,41,0,0,10,4,63,25,5
Flogging Reel,178,85,7,47,39,0,0,13,4,48,21,7
"Boys of Thomastown, The",130,33,6,64,27,0,0,10,4,65,12,7
Cronin's Favorite,117,10,7,64,36,0,0,4,2,65,6,7
McCahill's (2) (reel),158,75,4,47,32,0,0,13,3,48,21,4
"London Lasses (reel), The",148,51,5,63,29,0,0,12,3,64,14,5
John Doherty's Reel (2),112,49,7,31,25,0,0,10,2,32,14,9
"Hag With the Money, The",130,32,6,63,29,0,0,10,2,64,11,8
Langstern Pony,195,2,9,150,34,0,0,1,1,151,1,9
Walsh's (reel),136,71,5,31,29,0,0,13,3,32,19,6
Tim Dillon's Reel,104,49,2,31,22,0,0,10,2,32,13,2
"Wheels of the World, The",117,13,11,63,30,0,0,6,3,64,3,11
"Blackbird (hornpipe), The",166,60,9,64,33,0,0,13,5,65,19,9
Tom Rowsome's Slide*,115,11,11,64,29,0,0,5,3,65,5,15
"Ballinalarkey Maids (reel), The",123,19,9,64,31,0,0,6,4,65,7,9
Mother's Delight (reel),108,11,6,64,27,0,0,3,3,65,5,7
Foxhunter Reel,214,68,10,80,56,0,0,10,3,81,20,10
"Moheravogue (reel), The",102,45,3,31,23,0,0,11,3,32,12,4
"Ducks in the Oats, The",211,10,11,149,41,0,0,4,3,150,5,11
"Kishkeam Ladies*, The",134,31,11,64,28,0,0,11,4,65,12,11
"Maid of Holywell (reel), The",131,67,5,31,28,0,0,12,4,32,20,5
Paddy O'Rafferty 1,233,51,5,129,48,0,0,10,3,130,19,8
"Mist on the River* (hornpipe), The",141,44,5,64,28,0,0,9,5,65,16,6
"Musical Priest (reel), The",112,21,9,49,33,0,0,5,5,50,6,9
"Boys of the Lake (reel), The",163,64,3,64,32,0,0,13,3,65,19,4
Crushing the Twigs (reel),129,30,5,64,30,0,0,8,5,65,8,5
McGovern's Favorite (reel),150,76,2,44,28,0,0,12,4,45,21,2
"Second-Hand Car* (reel), The",112,39,3,48,22,0,0,12,2,49,12,3
Bill Harte's Reel,113,57,2,32,22,0,0,11,4,33,16,2
"Girl with the Yellow Hair, The",156,16,8,96,36,0,0,8,2,97,7,12
"New Custom House (reel), The",236,73,2,128,33,0,0,18,4,129,18,2
Johnny Cope (hornpipe),480,168,22,187,103,0,0,13,8,188,57,22
Callaghan's Slide,107,14,7,64,22,0,0,7,3,65,6,7
"Leitrim Reel, The",98,39,5,32,22,0,0,8,4,33,12,5
Wallop the Spot,154,11,10,96,37,0,0,5,2,97,5,10
Finnegan's Widow* (polka),103,4,10,64,25,0,0,2,2,65,2,12
Tommy O'Dea's (reel),97,47,1,31,18,0,0,12,2,32,12,1
Follow Me Down to Carlow,135,22,10,63,40,0,0,10,3,64,8,16
"Lark on the Strand, The",120,23,8,63,26,0,0,9,2,64,7,9
"Hut in the Bog (reel), The",141,56,4,48,33,0,0,11,5,49,17,4
"Wonders of Mayo*, The",123,20,9,63,31,0,0,8,3,64,7,14
Martin's Trip to Cree*,115,11,10,64,30,0,0,5,3,65,5,14
"Satin Slipper Reel [1], The",143,42,7,65,29,0,0,10,5,66,13,7
Paddy O Rafferty,116,9,8,63,36,0,0,4,2,64,5,9
Celia O'Gara*,107,11,8,64,24,0,0,5,3,65,5,11
"East Clare Lassies* (reel), The",133,30,9,64,30,0,0,10,7,65,10,9
Free and Easy* (reel),135,76,3,29,27,0,0,12,3,30,20,3
Coleman's Cross (reel),117,51,6,32,28,0,0,13,4,33,14,6
Tommy Gunn's (reel),128,65,4,32,27,0,0,14,4,33,19,4
"Ahascragh Pig, The",106,11,6,64,25,0,0,5,2,65,6,7
"Great Eastern Polka, The",150,36,7,80,27,0,0,11,3,81,13,8
"Dream of Home (reel), A",107,52,2,32,21,0,0,12,3,33,15,2
Mamma's Polka,105,15,6,63,21,0,0,6,3,64,6,8
"Humors of Ballinacarrig (reel), The",105,48,3,31,23,0,0,12,4,32,13,4
"Aghavas Reel 1, The",114,55,3,32,24,0,0,12,6,33,16,4
Rolling in the Ryegrass 1 (reel),116,57,3,31,25,0,0,11,3,32,14,3
"Broken Lantern, The",106,11,7,64,24,0,0,5,2,65,6,7
Nelson's Pillar (reel),97,48,2,31,16,0,0,11,5,32,11,2
Morrison's,140,31,11,63,35,0,0,12,3,64,10,11
Good for Starters* (slide),115,24,4,64,23,0,0,8,3,65,10,8
Sean Frank (reel),103,43,3,32,25,0,0,10,5,33,12,4
Riley's Reel,72,10,8,33,21,0,0,3,4,34,4,8
Dan Patsy's Slide*,98,11,3,64,20,0,0,5,3,65,5,4
"Peeler's Pocket (reel), The",125,63,4,32,26,0,0,10,4,33,19,4
Jackson's Morning Breeze,119,11,9,63,36,0,0,6,2,64,5,9
"Ladies of Drogheda* (reel), The",139,43,6,64,26,0,0,11,2,65,12,7
Annesbrook House (reel),244,74,4,127,39,0,0,17,4,128,20,4
"Shores of Ballybunion (reel), The",158,59,6,64,29,0,0,13,3,65,17,6
Tie the Ribbons  (reel),139,36,7,64,32,0,0,12,4,65,10,7
Jenny And The Weasel (reel),358,87,10,189,72,0,0,16,2,190,25,11
Miss Johnston (reel),130,64,6,31,29,0,0,11,3,32,18,6
"Blacksmith's Fancy (reel),The",149,52,5,64,28,0,0,12,3,65,14,5
"Boys of Malin (reel), The",141,52,8,47,34,0,0,8,5,48,13,7
Alexander's March - New Way,60,5,7,32,16,0,0,2,2,33,3,7
Stafford's Reel,110,45,6,32,27,0,0,12,2,33,14,6
Last Night's Fun 2 (reel),110,47,4,32,27,0,0,10,4,33,12,5
"Queen of the May (reel), The",147,64,5,47,31,0,0,12,6,48,16,5
Mister Henry's Single Jig*,122,20,9,63,30,0,0,9,3,64,7,13
"Fisherman's Lilt (reel), The",92,37,4,31,20,0,0,8,4,32,12,4
Ask My Father,129,27,8,61,33,0,0,10,5,62,12,9
Quinn's Reel 1,67,13,3,32,19,0,0,6,3,33,4,3
Molly Bawn* (reel),161,70,0,63,28,0,0,14,4,64,20,0
Mayor Harrison's Fedora (reel),148,36,10,63,39,0,0,9,4,64,11,10
Mullin's Favorite (reel),146,48,5,64,29,0,0,9,6,65,16,7
"Mountain Top (reel), The",97,40,4,32,21,0,0,12,3,33,9,4
Flowers of Doocastle* (reel),119,60,2,31,26,0,0,10,6,32,16,3
Rosemary Lane,145,40,9,64,32,0,0,12,5,65,13,13
Mick Duggan's Slide*,110,18,7,63,22,0,0,6,3,64,7,8
"Gallowglass Jig, The",121,14,11,64,32,0,0,6,4,65,7,11
Murphy's Reel,135,42,3,64,26,0,0,11,3,65,14,4
I'm Waiting for You (reel),172,69,5,64,34,0,0,11,3,65,21,8
"Belfast Boat, The",121,30,5,63,23,0,0,10,3,64,10,5
"Pride of Rathmore* (reel), The",105,50,3,31,21,0,0,13,4,32,14,3
Cronin's Hornpipe,149,58,2,64,25,0,0,11,3,65,17,2
"Controversial Reel, The",114,12,8,64,30,0,0,6,3,65,5,8
Paddy Fahy's Jig,185,15,15,95,60,0,0,5,3,96,3,15
Mary Darby's*,118,21,7,63,27,0,0,9,3,64,8,8
"Galtee Rangers (reel), The",106,48,4,32,22,0,0,10,3,33,15,4
"Tailor's Twist (hornpipe), The",159,59,8,64,28,0,0,12,3,65,17,7
"White Pony, The",106,13,5,64,24,0,0,6,3,65,6,5
"Lady on the Lake (reel), The",106,14,6,64,22,0,0,5,3,65,6,6
"Blue Pantaloons (reel), The",74,28,1,31,14,0,0,7,2,32,8,1
John Ryan's Radio Polka*,120,20,7,65,28,0,0,9,3,66,5,7
"Tureengarbh Jig, The",107,12,8,64,23,0,0,6,2,65,6,8
"King of the Pipes, The",176,28,11,96,41,0,0,11,3,97,9,12
Down the Gravel* (reel),90,35,3,31,21,0,0,9,3,32,9,3
Lynch's Hornpipe,153,60,4,64,25,0,0,13,5,65,17,4
"Ivory Flute, The",97,7,4,64,22,0,0,3,3,65,4,4
"Kerry Border* (polka), The",133,39,4,64,26,0,0,12,3,65,14,5
"Rising Sun (a3) (reel), The",137,58,5,48,26,0,0,12,4,49,16,5
"Gypsy Polka 1 & 2, The",158,33,11,64,50,0,0,8,3,65,15,20
"Kid on the Mountain, The",209,46,11,95,57,0,0,10,2,96,19,19
"Clar Hornpipe*, The",145,51,6,64,24,0,0,12,5,65,15,5
"Pigeon on the Gate 1 (reel), The",110,52,2,31,25,0,0,10,4,32,15,3
Morrison's (reel),128,73,0,30,25,0,0,11,4,31,22,0
Padraic Mac Giollarnath,136,36,5,63,32,0,0,11,3,64,14,6
"Lads of Doocastle (reel), The",162,45,12,63,42,0,0,13,6,64,9,12
Tipperary Hills*,131,34,11,45,41,0,0,9,4,46,15,17
"Mount Collins Reel, The",161,58,8,64,31,0,0,12,5,65,16,8
"Badger's Fancy* (hornpipe), The",152,56,4,64,28,0,0,11,5,65,18,4
"Leitrim Piper*, The",129,40,2,64,23,0,0,9,4,65,15,2
"Streamstown Hornpipe*, The",54,2,5,32,15,0,0,1,1,33,1,5
"Kilkenny Jig, The",211,16,11,149,35,0,0,8,3,150,7,11
Paddy Taylor's (reel),218,71,6,97,44,0,0,16,5,98,21,6
"Knotted Cord (reel), The",162,61,7,63,31,0,0,11,5,64,16,8
"Casheldoo Slide*, The",115,12,10,61,32,0,0,5,3,62,6,11
Brother Gildas' Jig*,111,7,9,64,31,0,0,3,2,65,4,9
"Bay Shore Jig*, The",128,13,10,64,41,0,0,5,3,65,7,13
Miss Cassidy (reel),95,35,5,32,23,0,0,10,3,33,10,6
"Fields of Westmeath*, The",126,18,11,60,37,0,0,8,3,61,9,12
"Cat that Ate the Candle (reel), The",158,57,6,63,32,0,0,13,4,64,14,7
Micky O'Callaghan's Favorite (h'pipe),136,45,4,64,23,0,0,9,3,65,14,4
Kelly's Merry Thatcher* (reel),148,54,3,63,28,0,0,11,3,64,14,3
"Lass of Ballintray (reel), The",107,53,2,32,20,0,0,11,5,33,15,2
Summer in Ireland (reel),159,66,2,63,28,0,0,15,2,64,19,3
Brown's Hornpipe*,159,52,8,64,35,0,0,11,4,65,17,10
Bonnie Kate (original version) (reel),116,55,7,31,23,0,0,13,3,32,13,6
Anything for John Joe? (reel),91,32,5,31,23,0,0,10,3,32,10,6
"Ladies' Pantalettes (reel), The",108,51,4,30,23,0,0,10,4,31,16,4
"Salamanca Reel, The",219,88,15,66,50,0,0,13,4,67,24,13
Ganley's Jig,130,34,6,64,26,0,0,9,4,65,13,8
Stay for Another While (reel),116,54,6,32,24,0,0,13,4,33,13,6
"River Meadow* (polka), The",125,21,9,64,31,0,0,8,3,65,10,13
Doherty's King of the Pipers*,311,15,17,225,54,0,0,7,3,226,7,17
"Black-Eyed Sailor* (reel), The",207,87,9,61,50,0,0,12,3,62,30,12
"Cordal Reel, The",135,72,4,32,27,0,0,13,3,33,21,4
"West Window*, The",110,12,9,64,25,0,0,6,3,65,5,12
Wallace's Cross (polka),115,22,5,63,25,0,0,8,4,64,9,9
"New Road (reel), The",236,85,9,95,47,0,0,15,4,96,25,7
"Leitrim Jig, The",122,10,9,65,38,0,0,5,2,66,4,9
"Mermaid of Mullaghmore (reel), The",127,62,5,32,28,0,0,13,3,33,16,5
Quinn's Reel 2,167,73,1,63,30,0,0,12,4,64,21,1
"Old Grey Gander (reel), The",113,52,3,32,26,0,0,10,4,33,15,3
When Sick Is It Tea You Want?,146,50,4,63,29,0,0,12,5,64,16,4
"Game Cock, The",112,12,11,64,25,0,0,6,3,65,5,13
Doctor Gilbert (reel),279,151,9,61,58,0,0,16,5,62,43,11
Glen Road to Carrick  (reel),332,93,11,161,67,0,0,18,3,162,28,10
Dillane's Hornpipe,169,71,5,62,31,0,0,13,3,63,20,5
"Ranger (h'pipe), The",159,56,7,64,32,0,0,13,3,65,16,10
"Glenside Cottage (reel), The",73,14,7,32,20,0,0,5,3,33,3,7
Full Sails to Greenland* (reel),203,82,11,63,47,0,0,12,2,64,26,11
Dunphy's Hornpipe,181,85,1,64,31,0,0,12,3,65,24,1
Tear the Calico (reel),190,74,6,63,47,0,0,9,5,64,24,5
"Wicklow Mountains, The",107,14,8,48,37,0,0,7,4,49,6,10
As I Went Out Upon the Ice (polka),139,33,9,64,33,0,0,9,5,65,13,9
Over the Hill (reel),148,58,3,63,24,0,0,13,3,64,15,3
"First Month of Summer (reel), The",122,59,5,32,26,0,0,13,7,33,15,5
It Goes As Follies (reel),119,58,5,31,25,0,0,13,4,32,16,6
"Knocknaboul Reel, The",103,45,4,31,23,0,0,12,4,32,13,4
"Derrylee Reel*, The",84,24,6,32,22,0,0,8,3,33,6,6
O'Connell's Welcome to Dublin,125,15,9,63,38,0,0,6,3,64,6,9
Tom Moran's Fancy*,159,26,10,74,49,0,0,10,3,75,12,26
John O'Dwyer of the Glen (set dance),262,88,6,126,42,0,0,13,6,127,26,7
Miss Thornton's (reel),112,46,8,32,26,0,0,12,2,33,14,8
Courting Them All (reel),100,47,3,31,19,0,0,12,4,32,11,3
Anac Cuan,104,8,10,64,22,0,0,3,3,65,4,10
Francie Donnellan's Reel,161,61,4,65,31,0,0,13,5,66,16,4
"Rambler, The",109,13,7,64,25,0,0,6,3,65,7,7
"Lasses of Saint Barry's (reel), The",210,64,6,97,43,0,0,13,3,98,18,6
"Strand Road*, The",134,28,12,63,31,0,0,8,3,64,10,14
"Priest's Jig, The",123,32,5,63,23,0,0,10,3,64,12,5
"Whole Chicken in the Soup (slide), The",120,25,4,63,28,0,0,9,3,64,10,7
Patrick O'Connor's* (polka),99,13,4,63,19,0,0,5,3,64,5,4
Elizabeth Brogan's (reel),107,53,2,31,21,0,0,11,5,32,15,2
Buddy Furey's (polka),119,24,7,63,25,0,0,9,3,64,8,9
Sean McGovern's* (polka),123,25,7,62,29,0,0,10,4,63,10,9
"Piper's Favorite (reel), The",78,19,5,32,22,0,0,7,4,33,7,6
"Flowers of Red Hill (reel), The",168,61,6,63,38,0,0,14,4,64,19,7
How Far to Ennis?* (reel),167,66,7,64,30,0,0,13,6,65,18,6
Dinny Mescall's Slide,119,13,13,64,29,0,0,7,3,65,6,16
Padraig O'Keeffe's Slide (2),159,40,14,63,42,0,0,10,4,64,15,16
Jerry Joe & George* (polka),163,51,9,63,40,0,0,11,2,64,21,13
"Piper's Wedding  (reel), The",119,59,2,31,27,0,0,11,6,32,17,2
Junior's Mouse*,151,38,10,64,39,0,0,9,6,65,13,12
Round the World (reel),153,64,6,48,35,0,0,11,7,49,18,7
"Glasslough Reel, The",84,31,3,32,18,0,0,9,2,33,10,3
Regan's,108,13,6,64,25,0,0,5,3,65,8,7
"Sweep's Hornpipe, The",144,67,2,48,27,0,0,14,3,49,22,2
"Bag of Spuds (reel), The",163,65,4,63,31,0,0,10,3,64,18,5
Sixpenny Money,124,30,5,64,25,0,0,9,4,65,11,5
Jackson's Walk to Limerick,232,9,9,160,54,0,0,4,3,161,5,10
"Ravelled Hank of Yarn (reel), The",146,45,5,64,32,0,0,11,4,65,14,5
Is Your Wallet Made of Silk? (slide),133,17,10,79,27,0,0,7,4,80,6,10
"Mossy Banks (a) (reel), The",115,45,10,32,28,0,0,9,5,33,12,10
"Pride of Slieve Aughty, The",132,40,4,64,24,0,0,14,3,65,14,4
"Merry Boys of Fore (reel), The",243,58,10,133,42,0,0,16,3,134,16,12
"Wind That Shakes the Barley (reel), The",88,28,5,32,23,0,0,11,4,33,7,6
"Templeglantine Reel 2, The",234,82,3,97,52,0,0,15,3,98,27,3
Young Mollie Murphy* (polka),105,17,4,63,21,0,0,6,4,64,8,4
"Autumn Leaves (reel), The",93,36,4,31,22,0,0,9,3,32,10,4
Paddy Fahy's Reel 1,165,83,5,49,28,0,0,17,7,50,21,5
"Crosses of Annagh* 1 (reel), The",135,38,6,64,27,0,0,11,3,65,11,6
I Furnished Up My House (h'pipe),122,24,8,64,26,0,0,9,3,65,7,8
Mister Flynn's Favorite Reel*,116,12,11,66,27,0,0,6,2,67,3,11
"Little Bag of Potatoes (reel), The",75,27,2,31,15,0,0,8,2,32,7,2
Old Tipperary,113,9,9,64,31,0,0,4,2,65,4,10
Tommy Coen's Reel,225,70,11,96,48,0,0,11,3,97,23,9
"Moving Bogs (reel), The",118,61,1,31,25,0,0,12,4,32,18,1
Lord McDonald's (reel),108,20,8,48,32,0,0,8,4,49,4,8
"Loughill Hornpipe, The",186,77,7,64,38,0,0,12,6,65,23,8
"Banks of the Hudson* (reel), The",70,11,9,32,18,0,0,5,2,33,2,9
"Monk's Jig, The",146,46,3,64,33,0,0,12,5,65,18,4
"Derrymore Reel, The",120,62,3,32,23,0,0,13,4,33,16,3
Miss Patterson's Slippers  (reel),149,57,2,65,25,0,0,14,4,66,16,2
Sliabh Russell,203,10,10,149,34,0,0,5,2,150,4,10
"Ashplant (reel), The",116,59,0,31,26,0,0,12,4,32,17,0
